what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1271319756281
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1271319756283
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1271319756284
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1271319756286
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1271319756287
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1271319756289
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1271319756290
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1271319756293
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1271319756294
os,sysinfo,,,"linux",1271319756300
arch,sysinfo,,,"x86",1271319756300
ws,sysinfo,,,"gtk",1271319756300
locale,sysinfo,,,"fr_FR",1271319756300
processors,sysinfo,,,"2",1271319756301
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1271319756301
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1271319756301
java.specification.name,sysinfo,,,"Java Platform API Specification",1271319756301
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271319756301
java.specification.version,sysinfo,,,"1.6",1271319756301
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1271319756301
java.version,sysinfo,,,"1.6.0_17",1271319756301
java.vm.info,sysinfo,,,"mixed mode, sharing",1271319756301
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1271319756301
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1271319756301
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271319756301
java.vm.specification.version,sysinfo,,,"1.0",1271319756301
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1271319756301
java.vm.version,sysinfo,,,"14.3-b01",1271319756301
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1271319757339
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271319758020
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271319759370
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271319761413
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271319761482
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1271319761512
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271319768366
